Reg_ID,Course_ID,Staff_ID,Reg_Status,Completion_Status
1,COR002,130001,Registered,Completed
245,COR001,130001,Registered,Completed
2,COR002,130002,Registered,Completed
3,COR002,140001,Registered,Completed
111,SAL004,140001,Registered,Completed
200,MGT001,140001,Registered,Completed
246,COR006,140001,Waitlist,
4,COR002,140002,Registered,Completed
112,SAL004,140002,Registered,Completed
247,FIN001,140002,Waitlist,
5,COR002,140003,Rejected,
113,SAL003,140003,Registered,Completed
248,FIN002,140003,Registered,Completed
114,SAL003,140004,Registered,OnGoing
203,COR002,140004,Registered,Completed
249,FIN003,140004,Registered,OnGoing
6,COR002,140008,Registered,OnGoing
115,SAL004,140008,Rejected,
250,HRD001,140008,Registered,OnGoing
204,COR002,140015,Waitlist,
251,MGT001,140015,Registered,
7,COR002,140025,Registered,OnGoing
116,SAL003,140025,Registered,OnGoing
252,MGT002,140025,Rejected,
8,COR002,140036,Waitlist,
253,MGT004,140036,Registered,
9,COR002,140078,Waitlist,
117,SAL004,140078,Registered,
254,MGT007,140078,Registered,Completed
10,COR002,140102,Registered,
118,SAL004,140102,Waitlist,
255,SAL001,140102,Waitlist,
11,COR002,140103,Registered,
119,SAL003,140103,Waitlist,
12,COR002,140108,Registered,
120,SAL003,140108,Registered,Completed
256,SAL004,140108,Registered,Completed
13,COR002,140115,Registered,Completed
121,SAL004,140115,Registered,Completed
257,tch001,140115,Registered,Completed
14,COR002,140525,Rejected,
122,SAL004,140525,Registered,Completed
258,tch002,140525,Registered,Completed
123,SAL003,140736,Registered,OnGoing
205,COR002,140736,Waitlist,
259,tch003,140736,Registered,OnGoing
15,COR002,140878,Registered,Completed
124,SAL003,140878,Rejected,
260,tch005,140878,Rejected,
201,MGT001,150008,Registered,Completed
206,COR002,150008,Registered,Completed
261,tch008,150008,Registered,OnGoing
17,COR002,150065,Waitlist,
126,tch003,150065,Waitlist,
263,tch013,150065,Waitlist,
16,COR002,150075,Registered,Completed
125,tch002,150075,Registered,
262,tch012,150075,Registered,
18,COR002,150076,Waitlist,
264,tch014,150076,Waitlist,
26,COR002,150085,Waitlist,
132,tch002,150085,Waitlist,
273,HRD001,150085,Registered,OnGoing
25,COR002,150095,Registered,
131,tch001,150095,Waitlist,
272,FIN003,150095,Waitlist,
27,COR002,150096,Waitlist,
133,tch003,150096,Registered,Completed
274,MGT001,150096,Registered,OnGoing
35,COR002,150115,Waitlist,
137,tch001,150115,Registered,Completed
284,tch005,150115,Registered,Completed
19,COR002,150118,Registered,Completed
127,tch005,150118,Registered,Completed
265,tch015,150118,Registered,
34,COR002,150125,Registered,OnGoing
283,tch003,150125,Registered,Completed
36,COR002,150126,Waitlist,
138,tch002,150126,Registered,Completed
285,tch008,150126,Registered,OnGoing
28,COR002,150138,Registered,Completed
275,MGT002,150138,Registered,
20,COR002,150142,Registered,OnGoing
266,tch018,150142,Registered,
21,COR002,150143,Registered,OnGoing
128,tch001,150143,Registered,Completed
267,tch019,150143,Registered,Completed
22,COR002,150148,Registered,
129,tch002,150148,Registered,OnGoing
268,COR001,150148,Registered,Completed
23,COR002,150155,Rejected,
130,tch003,150155,Rejected,
29,COR002,150162,Registered,Completed
134,tch005,150162,Registered,Completed
276,MGT004,150162,Registered,
30,COR002,150163,Registered,Completed
277,MGT007,150163,Rejected,
212,COR002,150165,Registered,OnGoing
43,COR002,150166,Registered,Completed
143,tch005,150166,Registered,Completed
189,FIN001,150166,Waitlist,
202,MGT001,150166,Registered,Completed
237,tch003,150166,Rejected,
293,COR006,150166,Registered,OnGoing
31,COR002,150168,Registered,Completed
135,tch001,150168,Rejected,
278,SAL001,150168,Registered,
32,COR002,150175,Rejected,
279,SAL003,150175,Registered,Completed
37,COR002,150192,Registered,
139,tch003,150192,Registered,Completed
286,tch012,150192,Rejected,
38,COR002,150193,Registered,
287,tch013,150193,Registered,OnGoing
39,COR002,150198,Registered,
140,tch005,150198,Rejected,
288,tch014,150198,Registered,
40,COR002,150205,Registered,Completed
289,tch015,150205,Waitlist,
44,COR002,150208,Waitlist,
190,FIN002,150208,Registered,Completed
238,tch005,150208,Waitlist,
294,FIN001,150208,Rejected,
371,MGT002,150208,Registered,Completed
51,COR002,150215,Registered,
148,tch002,150215,Waitlist,
198,FIN002,150215,Registered,Completed
243,tch001,150215,Registered,Completed
302,SAL001,150215,Registered,OnGoing
379,tch003,150215,Waitlist,
110,COR002,150216,Waitlist,
149,tch003,150216,Registered,Completed
199,FIN001,150216,Registered,OnGoing
